RSN,HPLVL,HPEXP,TOTLVL,TOTLVLADJ,VIRLVL,VIRLVLADJ,TOTEXP,TOTEXPADJ,CMBLVL,CMBLVLADJ,CMBEXPADJ,RSCORE,TIME
Bolanz,10,1199,1016,1016,1016,1016,11084213,11084168,32,32,1610176,,1775164381
BonsaiWizard,10,1154,2301,2301,2302,2302,193855601,193855601,95,95,30923177,,1775164384
BorSeta,11,1484,1428,1427,1431,1430,83120088,83119758,57,56,2445840,1495,1775164384
Bouquets,10,1189,1091,1091,1093,1093,87785808,87785773,15,15,15902714,1360,1775164385
BoxTwo,10,1154,1326,1326,1326,1326,75900616,75900616,67,67,15902575,1260,1775164387
Broken Pouch,10,1227,2239,2239,2269,2269,799207810,799207737,43,43,104807279,,1775164390
Brtyl,10,1154,2908,2908,2954,2954,1107154126,1107154126,129,129,183594730,10225,1775164393
BruteSkillz2,12,1707,1258,1256,1258,1256,57207476,57206923,16,16,13045682,,1775164396
Btu,10,1296,2652,2652,2704,2704,593953183,593953041,107,107,37436899,,1775164399
bubble gum7,10,1154,578,578,584,584,73698732,73698732,13,13,2426893,495,1775164400
Bun Eh,9,1089,2924,2925,3033,3034,1601493476,1601493541,129,129,550497514,4955,1775164400
Burnt Davis,10,1218,2429,2429,2686,2686,4400001218,4400001154,27,27,400001154,8875,1775164401
Buy Keys,12,1804,1434,1432,1434,1432,15262897,15262247,73,72,1307255,,1775164405
Cactus Cass,10,1248,2281,2281,2362,2362,1492353320,1492353226,30,30,200001598,4885,1775164406
Cakenub,10,1275,1575,1575,1575,1575,56031942,56031821,79,79,14609476,,1775164411
CalicoCabbit,10,1174,1725,1725,1725,1725,71803126,71803106,58,58,15088984,,1775164413
CaptaiNinto,15,2646,847,842,847,842,32960560,32959068,69,68,26463408,560,1775164414
CaptnDaerkin,12,1697,791,789,791,789,25303341,25302798,35,35,13341715,525,1775164415
Cares,10,1190,2008,2008,2029,2029,466371328,466371292,15,15,26091993,,1775164418
Carnillean,10,1242,2836,2836,2903,2903,1053805519,1053805431,111,111,125803336,2790,1775164419
Carriacou,9,1000,589,590,589,590,23512908,23513062,70,70,14379215,505,1775164420
cata1eya,10,1154,2244,2244,2343,2343,1473733324,1473733324,15,15,111949737,3090,1775164420
Cateorgies,10,1154,1504,1504,1519,1519,281423139,281423139,25,25,5115748,,1775164424
